ID,Salary,Pr/St,Cntry,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Position,Team,GP,G,A,PTS,+/-,PIM
100,675000,MN,USA,74,205,,,,R,D,CAR,45,0,6,6,-13,6
101,727500,,RUS,73,224,2013,2,37,R,LW,CAR,2,1,0,1,1,0
102,874125,AB,CAN,75,210,2011,1,11,L,D,COL,3,0,0,0,-2,2
103,8000000,ON,CAN,76,212,2002,1,1,L,RW/LW,NYR,67,23,15,38,9,26
104,1600000,NL,CAN,74,195,,,,R,LW/RW,L.A,12,0,2,2,0,0
105,900000,MO,USA,70,168,2016,1,7,L,C/LW,ARI,3,0,2,2,-3,0
106,1900000,,RUS,71,180,2011,1,27,L,C/LW,T.B,74,10,18,28,-4,31
107,5000000,MA,USA,75,228,2009,1,19,L,LW/C,NYR,75,28,25,53,6,58
108,5500000,CA,USA,75,219,2000,1,18,L,D,WSH,79,0,14,14,32,48
109,925000,IL,USA,72,193,2013,2,35,R,LW/C,COL,21,3,2,5,0,4
110,900000,ON,CAN,73,196,2012,5,151,R,D,BOS,61,6,7,13,0,55
111,925000,,DNK,73,182,2013,2,45,R,RW,ANA,5,0,1,1,-1,2
112,900000,ON,CAN,72,192,2000,3,95,L,C/LW,BOS,82,11,14,25,2,44
113,5600000,AB,CAN,76,221,2002,1,3,L,D,STL,81,1,14,15,6,28
114,750000,BC,CAN,69,179,2013,2,43,L,LW/C,WPG,54,1,12,13,-13,12
115,575000,MN,USA,70,184,2008,2,40,L,D,WSH,2,0,0,0,-1,0
116,600000,MN,USA,72,196,2009,5,150,R,D,DET,49,4,9,13,-7,12
117,925000,CT,USA,73,214,2013,2,33,L,LW,T.B,26,3,0,3,-9,11
118,4000000,,CZE,72,204,2010,3,66,R,D,PHI,67,6,17,23,8,93
119,715000,MI,USA,70,195,2011,4,99,L,C/LW,N.J/NSH/VAN,39,6,4,10,-6,8
120,600000,BC,CAN,71,199,,,,L,C,DET,6,0,1,1,1,0
121,875000,MA,USA,76,203,2013,2,61,L,LW,STL/WSH,39,4,4,8,2,10
122,575000,MI,USA,72,190,,,,R,D,PIT,11,0,1,1,2,24
123,8000000,BC,CAN,75,236,2006,2,50,L,LW,EDM,82,23,27,50,-3,50
124,3750000,MB,CAN,75,206,2010,6,178,R,RW,OTT,71,22,32,54,12,25
125,842500,MI,USA,69,160,,,,R,C,BOS,49,5,8,13,-10,12
126,950000,,CZE,75,200,2009,3,75,L,C/RW/LW,CAR,19,1,4,5,-3,2
127,4000000,,CZE,75,230,1990,1,5,L,RW,FLA,82,16,30,46,2,56
128,5000000,QC,CAN,73,204,2006,1,6,L,C,OTT,81,14,25,39,12,24
129,925000,MN,USA,75,211,2012,1,28,L,D,NYR,80,5,34,39,11,42
130,4250000,,RUS,71,178,2011,2,58,L,RW,T.B,74,40,45,85,13,38
131,800000,PE,CAN,72,193,2000,1,25,L,C/LW,DET/MTL,53,3,4,7,-8,80
132,575000,QC,CAN,71,198,2010,3,71,L,LW,T.B,19,2,1,3,-3,2
133,575000,ON,CAN,74,205,2011,3,86,R,LW,TOR,13,2,8,10,2,4
134,5800000,MN,USA,77,225,2004,1,5,R,RW,WPG,82,26,48,74,6,47
135,800000,MB,CAN,77,236,2010,1,10,R,D,FLA/NYR,6,1,0,1,-2,14
136,2500000,NH,USA,73,206,,,,R,D,N.J,82,1,6,7,-7,39
137,792500,,SWE,75,209,2012,3,81,R,C,PIT,10,0,0,0,-4,2
138,600000,ON,CAN,72,205,2011,5,150,R,D,PIT/TOR,4,0,0,0,-1,8
139,692500,,SVK,74,202,2013,3,90,L,LW/RW,BOS,11,0,2,2,0,0
140,925000,IL,USA,74,193,2011,4,98,L,D,MIN,17,1,0,1,1,2
141,575000,NY,USA,73,210,2010,6,168,L,D,NSH,29,0,7,7,-1,25
142,4000000,ON,CAN,75,216,2007,5,141,L,D,L.A,82,9,19,28,-21,46
143,590000,ON,CAN,71,183,2011,7,209,L,LW/C,PIT,78,8,18,26,0,32
144,925000,TX,USA,74,191,2012,2,36,L,LW,ANA,1,0,0,0,1,0
145,2570000,,RUS,71,212,2009,2,55,L,D,WSH,82,6,27,33,30,51
146,1750000,ON,CAN,76,217,2012,1,16,R,RW,WSH,82,7,12,19,9,133
147,1750000,QC,CAN,73,198,2000,2,55,L,C/LW,ANA,72,9,19,28,-7,42
148,5400000,TX,USA,76,220,2013,1,4,R,D,CBJ,75,12,30,42,6,24
149,50,MN,USA,67,180,2012,3,88,L,D,TOR,50,32,25,57,33,80
150,10900000,NS,CAN,71,200,2005,1,1,L,C,PIT,75,44,45,89,17,24
151,650000,ON,CAN,74,203,2009,3,70,R,LW,EDM/NYR,5,0,0,0,-3,4
152,575000,ON,CAN,71,174,2007,6,164,R,C/RW,OTT,3,0,0,0,0,6
153,925000,,FIN,71,195,2014,1,14,R,D,DAL,16,1,4,5,-4,4
154,1500000,ON,CAN,70,192,1997,6,156,L,D,CHI,80,5,12,17,12,24
155,740000,ON,CAN,73,206,2013,3,69,R,RW,BUF,14,3,1,4,1,6
156,3750000,AZ,USA,75,211,2011,1,8,L,C,PHI,66,14,20,34,12,33
157,6000000,BC,CAN,75,218,2010,1,4,R,C/RW,NSH,82,14,47,61,1,60
158,800000,BC,CAN,72,200,,,,L,C,NYI,2,0,0,0,-1,2
159,724500,ON,CAN,72,192,2011,3,65,L,C/LW,ANA/VAN,59,4,6,10,0,60
160,2500000,,SWE,73,192,2013,1,5,R,C/RW,CAR,72,11,34,45,-2,16
161,1000000,,SWE,72,190,2010,6,157,R,RW/LW,NYR,68,6,15,21,6,16
162,3500000,ON,CAN,72,185,2009,3,69,L,RW/C/LW,FLA,80,15,22,37,-13,17
163,925000,WI,USA,74,209,2013,4,118,R,RW,BUF,10,0,1,1,-1,2
164,675000,MI,USA,71,200,2011,5,129,L,LW/C,N.J,10,0,1,1,-5,4
165,600000,CO,USA,73,201,2011,3,82,R,C,L.A,70,6,11,17,-2,20
166,625000,MA,USA,74,190,,,,L,C,N.J,4,0,0,0,-3,4
167,950000,MA,USA,73,183,,,,R,C/RW,MTL,51,6,4,10,2,4
168,925000,ON,CAN,70,185,,,,L,LW/C,EDM,60,7,11,18,3,16
169,2600000,IL,USA,72,200,2008,6,177,R,C/RW/LW,OTT/S.J,73,7,5,12,-11,27
170,925000,ND,USA,74,201,2012,6,181,R,D,L.A,22,0,8,8,-5,4
171,925000,,FIN,71,172,2015,2,35,L,RW/LW,CAR,82,24,25,49,-1,26
172,1300000,,RUS,75,209,2012,1,12,L,C,COL,75,10,13,23,-14,18
173,2500000,MI,USA,75,236,2002,2,44,R,D,L.A,26,1,1,2,3,19
174,4300000,ON,CAN,74,185,2007,2,61,R,RW/LW,PHI,82,31,23,54,-18,122
175,575000,PA,USA,73,196,2008,7,190,L,D,CGY,24,1,1,2,-4,26
176,1200000,ON,CAN,75,235,2001,2,50,R,RW/LW,WPG,64,3,1,4,-7,95
177,800000,NY,USA,71,185,2011,2,61,L,LW/C,NYI,50,5,13,18,-9,18
178,4000000,,SWE,74,200,2011,2,42,L,C,CAR,82,16,29,45,-10,16
179,1250000,MB,CAN,74,210,,,,L,LW/RW,COL/NSH,59,5,1,6,-3,145
180,2300000,MI,USA,73,219,2007,1,18,L,D,PIT,81,5,21,26,26,72
181,575000,,CHE,71,192,2013,7,186,L,RW,T.B,18,0,3,3,2,4
182,925000,,RUS,79,265,2014,3,66,L,D,VAN,66,2,7,9,-7,64
183,2750000,MB,CAN,74,206,2008,4,111,R,RW,PHI,64,8,7,15,1,39
184,6075000,,SVK,73,205,2000,1,3,L,RW,L.A,56,10,11,21,-4,18
185,700000,ON,CAN,72,193,2005,5,150,L,C,BUF,11,0,1,1,-6,0
186,900000,MB,CAN,76,220,2011,2,46,L,D,STL,69,3,12,15,11,60
187,767500,ON,CAN,73,210,2013,2,40,L,LW,DAL,18,1,6,7,5,8
188,1650000,AB,CAN,76,214,,,,L,D,NYR,80,11,23,34,13,35
189,5750000,BC,CAN,74,210,2007,5,129,L,LW,DAL,77,26,43,69,-9,66
190,2400000,OH,USA,76,212,2011,1,20,R,D,ARI,77,2,15,17,-13,45
191,5000000,BC,CAN,73,215,2012,1,5,L,D,TOR,76,6,21,27,-20,21
192,667500,ON,CAN,71,185,2015,3,67,R,C,N.J,3,0,0,0,0,0
193,925000,AB,CAN,73,195,2012,6,175,R,D,EDM,62,3,12,15,8,29
194,6500000,NY,USA,70,187,2004,4,127,R,RW,T.B,18,2,2,4,-4,23
195,2500000,AB,CAN,72,190,,,,L,D,S.J,62,2,16,18,4,14
196,625000,CT,USA,74,219,2003,2,51,R,RW/C,PHI,3,1,0,1,1,0
197,1250000,ON,CAN,72,214,2010,2,42,R,RW/C/LW,N.J,53,4,5,9,-19,12
198,4100000,,SWE,75,197,2005,4,108,L,D,CHI,73,5,13,18,12,20
199,832500,BC,CAN,72,209,2013,1,17,R,C/RW,CGY/OTT,37,1,3,4,-8,4
200,715000,ON,CAN,72,200,2012,6,162,L,LW/C,N.J,27,3,6,9,-10,26
201,2500000,NY,USA,71,195,2003,5,148,R,RW,CAR,82,16,24,40,2,32
202,5500000,MI,USA,74,218,2005,2,42,L,LW/RW,DET,64,7,14,21,-20,50
203,680000,AB,CAN,74,187,2012,4,105,L,D,CGY,21,0,3,3,-3,12
204,8000000,MN,USA,75,221,2003,2,62,R,RW/C,BOS,74,17,21,38,2,69
205,6000000,ON,CAN,73,200,2007,1,9,L,C/LW,S.J,73,25,27,52,11,12
206,8000000,BC,CAN,75,200,2004,1,4,L,LW,NYI,78,23,8,31,-14,45
207,4050000,MN,USA,74,200,2008,1,17,L,D,TOR,82,9,34,43,24,34
208,575000,,FIN,71,203,2011,2,52,L,RW,NSH,5,0,0,0,-1,2
209,600000,BC,CAN,74,214,2011,1,18,R,C/RW,DAL,1,0,0,0,-1,0
210,775000,QC,CAN,73,216,2009,3,84,L,LW,BUF,42,0,2,2,-6,38
211,692500,ON,CAN,74,205,,,,L,D,DET,1,0,0,0,0,0
212,4000000,,CZE,72,185,2001,1,13,R,RW,DAL,15,4,3,7,-1,0
213,3100000,WI,USA,73,210,2012,1,3,L,C/LW,MTL,61,17,27,44,-5,24
214,600000,NY,USA,71,197,,,,R,C,MIN,3,0,0,0,0,0
215,925000,,FIN,77,206,2016,1,2,R,RW,WPG,73,36,28,64,7,26
216,4000000,,FIN,71,198,2001,6,192,L,LW/RW/C,FLA,69,11,17,28,-15,39
217,725000,,FRA,72,198,,,,L,LW/C,PHI,82,4,4,8,-1,20
218,925000,WI,USA,72,177,2014,1,20,R,C/LW,CHI,61,6,22,28,10,6
219,767500,BC,CAN,73,185,2014,4,116,L,C,BOS,8,0,0,0,-3,2
220,575000,MA,USA,73,200,,,,R,RW,FLA,21,0,3,3,-4,22
221,4000000,,SVK,73,207,1997,1,12,L,RW,CHI,73,26,19,45,7,8
222,600000,MA,USA,73,206,2006,3,65,L,D,WPG,5,0,2,2,-1,0
223,800000,AB,CAN,84,165,2012,2,40,R,RW,MTL,75,13,11,24,20,22
224,874125,ON,CAN,72,180,,,,L,LW/C/RW,WPG,51,2,2,4,-6,26
225,7000000,ON,CAN,75,217,2003,1,11,R,C/RW,L.A,82,32,34,66,2,41
226,750000,IL,USA,72,187,2011,7,204,L,LW/RW/C,OTT,81,14,18,32,7,30
227,3250000,ON,CAN,73,188,2000,1,28,R,RW,WSH,80,24,24,48,14,50
228,5400000,,FIN,76,203,2013,1,8,R,D,BUF,79,6,39,45,-9,58
229,705000,ON,CAN,72,212,2013,7,206,R,D,FLA,3,0,0,0,0,4
230,5000000,NS,CAN,69,181,2006,3,71,L,LW/C,BOS,80,39,46,85,18,81
231,925000,,RUS,73,201,2015,1,7,L,D,PHI,82,6,24,30,-7,34
232,925000,FL,USA,75,200,2016,1,16,L,D,ARI,68,7,13,20,-14,47
233,8000000,,RUS,72,219,2010,1,16,L,RW,STL,82,39,36,75,-1,12
234,575000,ON,CAN,68,180,,,,L,C/LW,T.B,11,1,3,4,0,4
235,6000000,ON,CAN,76,220,2006,1,2,L,C/LW,CAR,75,16,29,45,-1,38
236,9500000,,RUS,75,195,2004,1,2,L,C/RW,PIT,62,33,39,72,18,77
237,892500,RI,USA,70,208,,,,R,C,BOS,29,2,3,5,3,16
238,875000,ON,CAN,75,215,2011,2,44,R,RW,DAL,78,16,8,24,11,38
239,1200000,WI,USA,73,205,2011,5,177,L,D,BUF,71,-1,0,15,25,70
240,4000000,MB,CAN,75,210,2008,3,69,R,D,ARI/CGY,64,3,12,15,0,32
241,667500,ON,CAN,72,198,2013,2,58,L,LW,DET,7,0,0,0,-1,0
242,5200000,,DNK,72,210,2008,1,8,L,LW/RW,S.J,81,10,16,26,0,10
243,2725000,,CZE,70,197,2005,4,106,L,LW/C,STL,1,1,0,1,0,0
244,575000,MA,USA,69,170,2008,4,95,L,D,PIT,7,0,1,1,-3,6
245,5000000,MI,USA,71,190,,,,L,D,N.J,66,4,9,13,-16,8
246,925000,ON,CAN,68,178,2011,7,201,L,C,T.B,10,1,1,2,-3,2
247,875000,QC,CAN,73,193,2011,1,26,L,LW/C,MTL,82,13,27,40,5,35
248,7000000,MI,USA,75,204,2006,2,45,R,D,MTL,80,8,20,28,3,22
249,1250000,QC,CAN,72,200,2001,9,264,R,RW,N.J/NSH,67,13,15,28,-18,35
250,925000,ON,CAN,72,173,2014,1,28,R,RW/C,NYI,21,4,6,10,1,12
251,2600000,QC,CAN,76,218,2009,1,30,L,D,ANA,1,0,0,0,0,0
252,600000,BC,CAN,69,187,,,,L,D,NSH/STL,12,1,5,6,-1,2
253,5000000,MB,CAN,72,196,2005,5,132,L,C,DET,50,8,9,17,-6,20
254,792500,,FRA,71,191,,,,L,D/LW,N.J,25,2,2,4,1,2
255,700000,WI,USA,73,216,2005,1,7,R,RW,VAN,55,5,4,9,0,12
256,7500000,AB,CAN,75,219,2003,1,9,L,D,OTT,81,9,21,30,-6,100
257,2500000,,RUS,71,195,2012,1,1,L,RW/LW,STL,40,3,6,9,-3,14
258,7000000,,SWE,73,213,2006,1,4,L,C,WSH,82,23,63,86,17,38
259,1250000,ON,CAN,74,216,2003,4,132,L,D,CBJ/N.J,73,6,9,15,4,51
260,4250000,,SWE,71,184,2008,4,121,L,RW/C/LW,DET,76,12,36,48,0,18
261,600000,ON,CAN,73,197,,,,R,RW/C,ARI/NYR,54,4,8,12,-2,16
262,1000000,,CZE,73,194,1999,7,212,R,RW,ARI,81,20,35,55,-18,16
263,667500,NE,USA,71,180,2013,3,77,L,C/LW,PIT,40,16,17,33,7,10
264,3650000,AB,CAN,69,175,2008,1,26,L,LW/C/RW,BUF,51,5,8,13,-10,12
265,1150000,,LVA,74,200,2012,1,14,L,C/LW,BUF,75,7,9,16,-7,18
266,625000,ON,CAN,71,205,,,,L,C,S.J,58,2,10,12,6,128
267,925000,,SWE,74,202,2014,1,29,L,LW/C,L.A,25,2,4,6,-3,6
268,575000,AB,CAN,74,200,,,,R,RW/C,PIT,27,3,4,7,2,4
269,925000,NJ,USA,71,183,2014,1,19,R,D,ARI,39,5,9,14,-13,37
270,2350000,,AUT,72,200,,,,L,LW/C,PHI,52,8,3,11,-7,20
271,3700000,ON,CAN,73,210,2008,1,9,L,RW/LW/C,NYI,82,13,43,56,5,12
272,5000000,MN,USA,73,216,2007,1,12,L,D,NYR,77,6,36,42,20,37
273,3850000,MB,CAN,72,190,2009,3,85,L,C,DAL,60,3,9,12,-7,49
274,575000,MI,USA,76,204,2010,1,18,R,LW,NSH,77,5,12,17,14,99
275,3250000,BC,CAN,76,216,2004,3,79,L,D,ANA,14,1,2,3,0,28
276,925000,MI,USA,73,190,2014,1,15,L,C/LW,DET,80,17,15,32,-28,37
277,750000,MB,CAN,69,195,2001,4,98,R,RW,CHI,50,2,1,3,-6,28
278,3100000,ON,CAN,70,184,2005,1,25,L,LW/C/RW,ANA,82,16,19,35,11,26
279,3500000,QC,CAN,67,176,,,,L,C,EDM/MTL,49,6,8,14,4,12
280,725000,AB,CAN,72,188,,,,L,LW,MTL,33,2,7,9,4,6
281,900000,AB,CAN,73,200,2007,1,21,R,C/RW,BOS,81,7,10,17,-1,14
282,2700000,MN,USA,74,215,2003,1,21,L,D,WPG,42,2,2,4,4,27
283,5250000,SK,CAN,70,188,2010,1,14,L,LW/C,STL,78,19,36,55,14,18
284,1050000,,FIN,72,193,2009,7,182,L,C/LW,MIN,72,15,11,26,5,28
285,800000,BC,CAN,77,202,2008,2,42,L,D,COL,57,4,8,12,-18,23
286,600000,FL,USA,73,195,,,,R,C,VAN,58,4,4,8,-4,6
287,3000000,,SWE,75,220,2011,1,19,L,D,EDM,82,12,26,38,7,6
288,650000,CA,USA,71,193,,,,R,RW,FLA,14,2,1,3,-1,18
289,792500,MA,USA,69,201,,,,L,C/LW,BOS,44,10,8,18,-3,14
290,1200000,ON,CAN,74,239,2006,1,18,R,RW/LW,MIN,79,13,8,21,3,94
291,1025000,,DNK,73,185,2008,5,149,R,D,VAN,26,1,5,6,-8,4
292,8750000,QC,CAN,73,195,2003,2,45,R,C,BOS,79,21,32,53,12,24
293,3500000,,CZE,78,226,2005,1,17,L,C,ARI/MIN,71,20,19,39,-17,53
294,3100000,AB,CAN,70,170,2005,3,67,L,D,EDM,68,1,12,13,5,23
295,950000,AB,CAN,72,195,2007,4,112,R,C/RW,FLA,80,9,15,24,-16,25
296,13800000,NY,USA,71,177,2007,1,1,L,RW/C,CHI,82,34,55,89,11,32
297,4250000,QC,CAN,73,205,2005,2,35,L,D,S.J,75,6,22,28,4,35
298,3500000,QC,CAN,74,227,2009,4,94,R,D,CBJ,74,6,17,23,33,44
299,2900000,ON,CAN,73,197,2009,1,12,L,D,NYI,82,5,20,25,15,36
300,4000000,ON,CAN,72,203,2006,4,112,L,LW,BOS,49,3,5,8,-10,47
301,1000000,SK,CAN,74,229,2008,1,5,R,D,ARI,78,1,7,8,-9,85
302,1250000,MN,USA,70,169,,,,R,RW,T.B,64,3,3,6,-7,73
303,832500,ON,CAN,74,217,2012,1,26,L,C/LW,VAN,57,0,5,5,-2,33
304,925000,AB,CAN,74,194,2011,4,92,L,D,EDM,3,0,0,0,0,2
305,5000000,ON,CAN,74,221,2005,2,33,L,RW/LW,NSH,70,23,18,41,-10,35
306,575000,,CHE,71,200,2007,3,73,R,D,NSH,73,1,7,8,1,25
307,900000,MB,CAN,74,208,2010,5,133,L,LW/RW,CGY,76,15,10,25,-1,50
308,742500,,RUS,72,180,2014,2,33,L,C,STL,30,5,7,12,5,2
309,1500000,ON,CAN,75,207,2009,1,13,R,RW,EDM,79,7,17,24,4,101
310,722500,ME,USA,74,208,,,,R,RW,CGY,26,1,4,5,0,44
311,2500000,CT,USA,75,210,2000,1,13,L,D,CAR/PIT,72,4,13,17,-8,21
312,1750000,IL,USA,75,210,2009,1,21,L,D,N.J,63,12,10,22,-7,39
313,925000,WI,USA,72,200,,,,L,D,N.J,5,0,0,0,-1,0
